accession,name,kingdom,super_class,class,sub_class,group
HMDB0001259,Succinic acid semialdehyde,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001262,Maltotriose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001264,Dehydroascorbic acid,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Heterocycles & nucleotides
HMDB0001266,L-Sorbose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001273,Guanosine triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Heterocycles & nucleotides
HMDB0001294,"2,3-Diphosphoglyceric acid",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001296,Maltotetraose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001310,D-Alanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001311,D-Lactic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0001316,6-Phosphogluconic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001336,"3,4-Dihydroxybenzeneacetic acid",Organic compounds,Benzenoids,Phenols,Benzenediols,Aromatics
HMDB0001341,ADP,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Heterocycles & nucleotides
HMDB0001342,Thymidine 5'-triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0001348,SM(d18:1/18:0),Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,Lipids
HMDB0001355,Parathion,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphoric acid esters,Nitrogenous & organic acids
HMDB0001358,Retinal,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Lipids
HMDB0001366,Purine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001368,3-Mercaptopyruvic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,Nitrogenous & organic acids
HMDB0001370,Diaminopimelic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001372,Thiamine pyrophosphate,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0001388,alpha-Linolenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lipids
HMDB0001389,Melatonin,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Heterocycles & nucleotides
HMDB0001392,p-Aminobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001394,Heparin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001397,Guanosine monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Heterocycles & nucleotides
HMDB0001398,Guaiacol,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Aromatics
HMDB0001401,Glucose 6-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001403,Prostaglandin D2,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Lipids
HMDB0001406,Niacinamide,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0001409,dUMP,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0001413,Citicoline,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0001414,Putrescine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0001423,Coenzyme A,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Heterocycles & nucleotides
HMDB0001431,Pyridoxamine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxamines,Heterocycles & nucleotides
HMDB0001432,Agmatine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Nitrogenous & organic acids
HMDB0001434,3-Methoxytyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001440,dGTP,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0001451,(R)-Lipoic acid,Organic compounds,Organoheterocyclic compounds,Dithiolanes,Lipoic acids and derivatives,Heterocycles & nucleotides
HMDB0001460,Diethylthiophosphate,Organic compounds,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphoric acid esters,Nitrogenous & organic acids
HMDB0001470,Tiglic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001476,3-Hydroxyanthranilic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001485,Octane,Organic compounds,Hydrocarbons,Saturated hydrocarbons,Alkanes,Other
HMDB0001487,NADH,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,Heterocycles & nucleotides
HMDB0001488,Nicotinic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0001490,Vanylglycol,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Aromatics
HMDB0001491,Pyridoxal 5'-phosphate,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridine carboxaldehydes,Heterocycles & nucleotides
HMDB0001494,Acetylphosphate,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Nitrogenous & organic acids
HMDB0001511,Phosphocreatine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001520,Flavin mononucleotide,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,,Heterocycles & nucleotides
HMDB0001522,Methylguanidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Nitrogenous & organic acids
HMDB0001525,Imidazole,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Heterocycles & nucleotides
HMDB0001532,Deoxyadenosine triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides,Heterocycles & nucleotides
HMDB0001537,6-Hydroxydopamine,Organic compounds,Benzenoids,Phenols,Benzenediols,Aromatics
HMDB0001538,3-Pyridylacetic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,,Heterocycles & nucleotides
HMDB0001542,N-Acetyllactosamine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001544,m-Chlorobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001545,Pyridoxal,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridine carboxaldehydes,Heterocycles & nucleotides
HMDB0001547,Corticosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Lipids
HMDB0001548,D-Ribose 5-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001563,1-Methylguanosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Heterocycles & nucleotides
HMDB0001565,Phosphorylcholine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Nitrogenous & organic acids
HMDB0001568,trans-2-Octenoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001569,Epi-coprostanol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Lipids
HMDB0001570,"Thymidine 3',5'-cyclic monophosphate",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0001587,Phenylglyoxylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,Aromatics
HMDB0001624,2-Hydroxycaproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001645,L-Norleucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001659,Acetone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organic oxygen compounds
HMDB0001713,m-Coumaric acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Aromatics
HMDB0001721,DL-O-Phosphoserine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001786,Ethenodeoxyadenosine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001830,Progesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Lipids
HMDB0001833,Aminopterin,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives,Heterocycles & nucleotides
HMDB0001843,N-Acryloylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001844,Methylsuccinic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001846,Tetrahydrofolic acid,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001847,Caffeine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001848,Imipramine,Organic compounds,Organoheterocyclic compounds,Benzazepines,Dibenzazepines,Heterocycles & nucleotides
HMDB0001849,Propranolol,Organic compounds,Benzenoids,Naphthalenes,,Aromatics
HMDB0001850,Verapamil,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines,Aromatics
HMDB0001851,L-Arabitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001852,all-trans-Retinoic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Lipids
HMDB0001855,5-Hydroxytryptophol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles,Heterocycles & nucleotides
HMDB0001856,Protocatechuic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001857,"1,3-Dimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001858,p-Cresol,Organic compounds,Benzenoids,Phenols,Cresols,Aromatics
HMDB0001859,Acetaminophen,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,Aromatics
HMDB0001860,Paraxanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001861,3-Methylhistamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0001862,2-Ethylacrylic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001864,2-Ketohexanoic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives,Nitrogenous & organic acids
HMDB0001866,"3,4-Dihydroxymandelic acid",Organic compounds,Benzenoids,Phenols,Benzenediols,Aromatics
HMDB0001867,4-Aminohippuric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001868,5-Methoxysalicylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001870,Benzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001871,Epicatechin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Aromatics
HMDB0001873,Isobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Nitrogenous & organic acids
HMDB0001874,D-threo-Isocitric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Nitrogenous & organic acids
HMDB0001875,Methanol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0001877,Valproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001878,Thymol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids
HMDB0001879,Aspirin,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001881,Propylene glycol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organic oxygen compounds
HMDB0001882,Dihydroxyacetone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001885,3-Chlorotyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001886,3-Methylxanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001888,"N,N-Dimethylformamide",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Nitrogenous & organic acids
HMDB0001889,Theophylline,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001890,Acetylcysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001891,m-Aminobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001892,Menadione,Organic compounds,Benzenoids,Naphthalenes,Naphthoquinones,Aromatics
HMDB0001893,alpha-Tocopherol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Lipids
HMDB0001894,Aspartame,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001895,Salicylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001896,5-Methoxytryptophol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Heterocycles & nucleotides
HMDB0001900,Ribonolactone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0001901,Aminocaproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001902,Pteroyltriglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001904,3-Nitrotyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001906,2-Aminoisobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001913,Omeprazole,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,Sulfinylbenzimidazoles,Heterocycles & nucleotides
HMDB0001919,Famotidine,Organic compounds,Organoheterocyclic compounds,Azoles,Thiazoles,Heterocycles & nucleotides
HMDB0001920,Dextromethorphan,Organic compounds,Alkaloids and derivatives,Morphinans,,Other
HMDB0001921,"1,1-Dimethylbiguanide",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Nitrogenous & organic acids
HMDB0001922,Clotrimazole,Organic compounds,Benzenoids,Triphenyl compounds,,Aromatics
HMDB0001923,Naproxen,Organic compounds,Benzenoids,Naphthalenes,,Aromatics
HMDB0001924,Atenolol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetamides,Aromatics
HMDB0001925,Ibuprofen,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0001926,17a-Ethynylestradiol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Lipids
HMDB0001927,Diphenhydramine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Aromatics
HMDB0001928,Hydrochlorothiazide,Organic compounds,Organoheterocyclic compounds,Thiadiazines,Benzothiadiazines,Heterocycles & nucleotides
HMDB0001929,Levofloxacin,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,Heterocycles & nucleotides
HMDB0001930,Ranitidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0001932,Metoprolol,Organic compounds,Benzenoids,Phenols,Tyrosols and derivatives,Aromatics
HMDB0001933,Furosemide,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Aromatics
HMDB0001934,Nicotine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyrrolidinylpyridines,Heterocycles & nucleotides
HMDB0001935,Warfarin,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,Aromatics
HMDB0001936,Doxylamine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzylethers,Aromatics
HMDB0001937,Salbutamol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols,Aromatics
HMDB0001938,Lisinopril,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0001939,Medroxyprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Lipids
HMDB0001940,Triamterene,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,,Heterocycles & nucleotides
HMDB0001941,Brompheniramine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pheniramines,Heterocycles & nucleotides
HMDB0001942,Phenylpropanolamine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Aromatics
HMDB0001943,Pseudoephedrine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Aromatics
HMDB0001944,Chlorpheniramine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pheniramines,Heterocycles & nucleotides
HMDB0001955,3-Phenylbutyric acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0001972,3-Aminosalicylic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0001973,9-Methyluric acid,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001975,2-Ethyl-2-Hydroxybutyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001982,"3,7-Dimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0001987,2-Hydroxy-2-methylbutyric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0001991,7-Methylxanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0002001,Dimethylmalonic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Nitrogenous & organic acids
HMDB0002003,Tetracosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002004,5-Methoxydimethyltryptamine,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Heterocycles & nucleotides
HMDB0002005,Methionine sulfoxide,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002006,"2,3-Diaminopropionic acid",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002024,Imidazoleacetic acid,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Heterocycles & nucleotides
HMDB0002026,"1,9-Dimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0002039,2-Pyrrolidinone,Organic compounds,Organoheterocyclic compounds,Pyrrolidines,Pyrrolidones,Heterocycles & nucleotides
HMDB0002040,4-Methoxycinnamic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Aromatics
HMDB0002043,5-Phenylvaleric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002048,m-Cresol,Organic compounds,Benzenoids,Phenols,Cresols,Aromatics
HMDB0002055,o-Cresol,Organic compounds,Benzenoids,Phenols,Cresols,Aromatics
HMDB0002059,12-Hydroxydodecanoic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0002064,N-Acetylputrescine,Organic compounds,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,Nitrogenous & organic acids
HMDB0002068,Erucic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002072,4-Methoxyphenylacetic acid,Organic compounds,Benzenoids,Phenol ethers,Anisoles,Aromatics
HMDB0002074,"2,2-Dimethylsuccinic acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002085,Syringic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0002092,Itaconic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002096,3-Indolebutyric acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Heterocycles & nucleotides
HMDB0002097,4-Ethylbenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0002099,6-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0002107,Phthalic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0002123,"1,3,7-Trimethyluric acid",Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0002128,"2,4-Diamino-6-hydroxypyrimidine",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0002141,N-Methyl-a-aminoisobutyric acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002144,"1,3-Dimethyluracil",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0002176,Ethylmethylacetic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002182,Phenylephrine,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,Aromatics
HMDB0002199,Desaminotyrosine,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Aromatics
HMDB0002205,L-Homocysteic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002210,2-Phenylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0002212,Arachidic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002222,3-Methylphenylacetic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Toluenes,Aromatics
HMDB0002229,3-Phenoxypropionic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,3-phenoxypropionic acids,Aromatics
HMDB0002243,Picolinic acid,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0002259,Heptadecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002302,Indole-3-propionic acid,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Heterocycles & nucleotides
HMDB0002303,Dimethylsulfide,Organic compounds,Organosulfur compounds,Thioethers,Dialkylthioethers,Other
HMDB0002308,Hydroxocobalamin,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Corrinoids,Heterocycles & nucleotides
HMDB0002322,Cadaverine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0002327,"1,11-Undecanedicarboxylic acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002339,5-Methoxytryptophan,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Heterocycles & nucleotides
HMDB0002345,Heneicosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002348,Octacosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002350,Octadecanol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Lipids
HMDB0002356,Hexacosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0002359,Phenylpropiolic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Aromatics
HMDB0002361,Pentacosanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
