accession,name,kingdom,super_class,class,sub_class
HMDB0005356,TG(16:0/16:0/16:0),Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols
HMDB0005785,Indole-3-carbinol,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles
HMDB0005792,Sulforaphane,Organic compounds,Organosulfur compounds,Sulfoxides,
HMDB0005794,Quercetin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
HMDB0005800,Luteolin,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
HMDB0005801,Kaempferol,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones
HMDB0005807,Gallic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0005812,Geraniol,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB0005842,2-Oxohexane,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0005846,Ethyl isopropyl ketone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0005994,Hexanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0006024,Mevalonolactone,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones
HMDB0006050,o-Tyrosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0006115,Benzaldehyde,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives
HMDB0006219,13-cis-Retinoic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Retinoids
HMDB0006331,"cis,cis-Muconic acid",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0006355,"D-Glucurono-6,3-lactone",Organic compounds,Organoheterocyclic compounds,Furofurans,Isosorbides
HMDB0006478,Isovaleraldehyde,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0006483,D-Aspartic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0011599,1-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0011600,3-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0011603,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0011614,7-Methyladenine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB0011619,Arachidyl alcohol,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
HMDB0011623,Decanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0011628,Glycyrrhetinic acid,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
HMDB0011632,L-Iditol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0011634,Norspermidine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0011635,p-Cresol sulfate,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates
HMDB0011653,"17alpha,20alpha-Dihydroxypregn-4-en-3-one",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB0011723,2-Methylhippuric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0011733,Glycyl-glycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0011745,N-Acetyl-L-methionine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0011749,2-Piperidinone,Organic compounds,Organoheterocyclic compounds,Piperidines,Piperidinones
HMDB0011751,3-Methoxybenzenepropanoic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0012127,(R)-2-Benzylsuccinate,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0014352,Azithromycin,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0015122,Cytarabine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
HMDB0034224,Dihydrobrassicasterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Ergostane steroids
HMDB0240219,cis-Vaccenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0240773,DL-Acetylcarnitine,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB0242149,Xylitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0243522,"[(1S,2S,4R,5S)-9-Methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate",Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
HMDB0243631,"5,6,7,8-Tetrahydrofolic acid",Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB0247294,"D-Erythro-7,8-dihydrobiopterin",Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB0250776,D-Methionine (S)-S-oxide,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0250782,"3-[[(2S)-2,4-Dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0252876,Glycyl-D-proline,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0254327,MANNOHEPTULOSE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0255414,N-Acetyl-1-aspartylglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0302211,S-N-Methylcysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0302754,2-Aminoadipic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0304210,"5,6-dihydrothymine",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB0304435,NADP+,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,
